a,d,e
0.902806240994642,0.2107511547125978,0.5510156620071611
0.7281738117985519,0.1768422391516441,0.0742237287454838
0.0176784067099643,0.459249027886504,0.3577549043518205
0.2214158008005901,0.2097910426586959,0.5630953567092207
0.005013845852152,0.454009653599131,0.8767431148180623
0.3106299406334375,0.3366673948117514,0.8668138525237645
0.096645192968805,0.321698392450189,0.1447127303756004
0.6441899771237238,0.7539573387926423,0.8224612821857673
0.9236173013540224,0.6170078252504599,0.3902072500936299
0.4135866331084074,0.9524683785262074,0.075791709202008
0.0008042209719885,0.7233215155352484,0.0853393699533433
0.4394482936802225,0.5706965235553171,0.0928949638155295
0.7159635405187623,0.5327336296079682,0.3630908987661425
0.7977409034510529,0.7347886791149078,0.6770297387788466
0.068824286592923,0.8246318407833773,0.9166880203699298
0.1404586144808453,0.1753297130779799,0.4435356298998133
0.461091737317997,0.6903050973472425,0.5442572441536127
0.2513140201909559,0.9239275625623984,0.4283333593875933
0.1417141267922511,0.9773922580231672,0.5116937320420982
0.9924699412060876,0.7541768687594649,0.8299348892837835
0.4026795133547857,0.201896815645982,0.0542233869165598
0.8962317290840741,0.183358587592449,0.06006725160893
0.5376641649443247,0.7063347599026456,0.8156663502252102
0.3857297530339285,0.9278169277579066,0.1385237558335874
0.9661670666046844,0.2212472487251305,0.4101348988725148
0.2702245035602482,0.4974262514332028,0.2125444842599979
0.0123443880850504,0.9934560702564432,0.1776231137916629
0.394465293927926,0.887613542831716,0.5611574160344478
0.610744371156567,0.0518790617390659,0.2511060095066227
0.6730776655255738,0.6213825514998228,0.5003178741112134
0.8860824449646971,0.7041258231012146,0.2419905487173862
0.6127608922432112,0.3152060595851317,0.7982126905767808
0.9892510597039724,0.907002206628599,0.6504988719555908
0.9509007860519202,0.6812756947696521,0.2417907477731994
0.2403068534916147,0.3802971686010896,0.8124370960921456
0.4778862885719934,0.5956796138684942,0.634777050041893
0.590760123756854,0.0016445021633423,0.9467377645815204
0.8575624772764764,0.7968943404010957,0.1862930042498732
0.9513749435553862,0.2993319590821324,0.3153477620117147
0.3232419688019805,0.8273800804029712,0.6892813840271286
0.2564453615272106,0.0139782412504796,0.7312974369048378
0.4728795522999329,0.355152474437546,0.8732252081487532
0.0992799288640648,0.6981273481584126,0.4871042184369104
0.2988851778385342,0.4455727443249088,0.8405781583813778
0.938929133858148,0.6311995236751025,0.36757596346879
0.2236893393373649,0.6957720235044096,0.8612790095823826
0.2139373214910385,0.5139083728431282,0.0270357978980452
0.4853470786617603,0.3161295597455025,0.9228504095988476
0.4595727801389353,0.30034205471634,0.4515834592718885
0.4241411411377935,0.0303066533839312,0.1397158195467387
0.7385968162053003,0.3106318242485434,0.4452217680892065
0.8090132035337071,0.3428371581208718,0.3590160093682137
0.8002687556789794,0.9798573111707112,0.9073609920058098
0.970653519059809,0.8502700904250018,0.7201113577755727
0.5379418188018067,0.0875597638829421,0.451934746477511
0.3042457290394699,0.8109824395731718,0.5078792918933445
0.6937985400182959,0.0757546061940036,0.3160028960206243
0.7485770921884726,0.3200666545878121,0.0159340819489628
0.9921982597887952,0.7212083747650657,0.5609368451503572
0.9134739058099618,0.5937205576057105,0.9177942318602852
0.905054277747394,0.1747025552664018,0.134295265014653
0.2349116559773746,0.771135266851136,0.6486563171518066
0.8381622647203038,0.9438745262570504,0.143559371137165
0.2793519170227444,0.2089072482580137,0.5001538741254207
0.6556204530256621,0.4737672083930845,0.955824764621082
0.4969478329799386,0.1967112480482132,0.759511610380321
0.9077986835164988,0.6533714970058518,0.5097505757137334
0.5829161981939177,0.437491881768711,0.5928167348419674
0.1508430199917296,0.3090676808434291,0.6025632636892354
0.6212754370131324,0.6877874458417075,0.891646312787089
0.1876726336067168,0.3579122924315429,0.6584379096965023
0.0606996452723108,0.2460690448262928,0.3654794588253302
0.9419116540642952,0.1126367405979532,0.6191884411960675
0.9573495295529784,0.6753303599211159,0.9574267110995428
0.7475729535177835,0.272587851482541,0.9574959991971218
0.7689149317563394,0.0092885849548707,0.6189257050214109
0.1187160001764651,0.0882380949259813,0.0525525872806501
0.8041595920974915,0.8345811929973018,0.9114232837954668
0.943384523367508,0.9632668951212536,0.5298866758999089
0.23833802045118,0.9641246660776432,0.1203596586360097
0.880844650713239,0.2848761867674945,0.4659699388113508
0.1615946003058379,0.605227761965752,0.6009789252401284
0.2511411609443786,0.0424049994870149,0.7804046223444366
0.3528821033780822,0.315603414123572,0.1066949671453457
0.2419918837715495,0.9118279323899549,0.0324163225610497
0.3700041646191877,0.6920440387850437,0.0987760169519484
0.9084618821823952,0.7625833313014243,0.1837141095440134
0.712684971674972,0.2990001874185831,0.9470017516196088
0.917109999297144,0.5361969951038903,0.5039715596888161
0.1100996416120441,0.7199094509405598,0.3003920318049936
0.8183642067655224,0.3324503186681663,0.5218948294404752
0.4254323465148146,0.1155798191957443,0.2287263237472553
0.1303966053486857,0.679244703073268,0.0341665932695067
0.4868755900241363,0.9996880674189734,0.1871548138480616
0.1560131994076954,0.23048513375342,0.7107590162336253
0.6940262735158962,0.4013518955334579,0.8654187994922574
0.0240577106620976,0.1816680972528418,0.1741269477197224
0.1712879970737572,0.6939702441702438,0.9384860694061288
0.207729275959093,0.3745147715014701,0.9996274044547636
0.1860125006916198,0.7898805670338912,0.7369005613978182
